model,scheme,layer,resample,baseline_len,baseline_gsm8k,peak_len,peak_len_alpha,first_collapse_abs_alpha,gsm8k_safe_abs_alpha,residual_norm,parser,probe,run_tag
Mistral-7B-Instruct-v0.3,nf4,16,1,110.0,0.36,301.0,5.0,-7.0,2.0,9.71,v2.3.1,gsm8k,Mistral-7B-Instruct-v0-3_w4a16_bnb_nf4_length_L16_r1
Mistral-7B-Instruct-v0.3,nf4,16,2,145.5,0.45,488.5,4.0,5.0,0.0,9.71,v2.3.1,gsm8k,Mistral-7B-Instruct-v0-3_w4a16_bnb_nf4_length_L16_r2
Mistral-7B-Instruct-v0.3,nf4,16,3,148.0,0.36,219.0,-5.0,-7.0,0.0,9.71,v2.3.1,gsm8k,Mistral-7B-Instruct-v0-3_w4a16_bnb_nf4_length_L16_r3
Mistral-7B-Instruct-v0.3,nf4,16,4,109.0,0.305,216.0,2.0,-7.0,2.0,9.71,v2.3.1,gsm8k,Mistral-7B-Instruct-v0-3_w4a16_bnb_nf4_length_L16_r4
Mistral-7B-Instruct-v0.3,nf4,16,5,95.5,0.35,151.0,3.0,-7.0,0.0,9.71,v2.3.1,gsm8k,Mistral-7B-Instruct-v0-3_w4a16_bnb_nf4_length_L16_r5
Qwen2.5-7B-Instruct,fp16,14,1,203.0,0.925,258.0,40.0,-60.0,20.0,270.84,v2.3.1,gsm8k,Qwen2-5-7B-Instruct_fp16_length_L14_r1
Qwen2.5-7B-Instruct,fp16,14,2,235.5,0.915,304.0,20.0,-80.0,20.0,270.84,v2.3,gsm8k,Qwen2-5-7B-Instruct_fp16_length_L14_r2
Qwen2.5-7B-Instruct,fp16,14,3,209.0,0.92,268.0,15.0,-60.0,20.0,270.84,v2.3,gsm8k,Qwen2-5-7B-Instruct_fp16_length_L14_r3
Qwen2.5-7B-Instruct,fp16,14,4,216.0,0.93,270.0,15.0,60.0,20.0,270.84,v2.3,gsm8k,Qwen2-5-7B-Instruct_fp16_length_L14_r4
Qwen2.5-7B-Instruct,fp16,14,5,174.0,0.865,232.0,20.0,60.0,20.0,270.84,v2.3,gsm8k,Qwen2-5-7B-Instruct_fp16_length_L14_r5
